"company","isin","ticker"
"GAP","US3647601083",NA
"GARMIN","CH0114405324",NA
"GENERAL DYNAMICS","US3695501086",NA
"GE AEROSPACE","US3696043013",NA
"GENERAL MILLS","US3703341046",NA
"GENUINE PARTS","US3724601055",NA
"GENWORTH FINANCIAL","US37247D1063",NA
"GILEAD SCIENCES","US3755581036",NA
"GOLDMAN SACHS GP.","US38141G1040",NA
"GOODYEAR TIRE & RUB.","US3825501014",NA
"ALPHABET 'A'","US02079K3059",NA
"WW GRAINGER","US3848021040",NA
"HEALTHPEAK PROPERTIES","US42250P1030",NA
"HALLIBURTON","US4062161017",NA
"HARLEY-DAVIDSON","US4128221086",NA
"L3HARRIS TECHNOLOGIES","US5024311095",NA
"HARTFORD INSURANCE GROUP","US4165151048",NA
"HASBRO","US4180561072",NA
"WELLTOWER","US95040Q1040",NA
"HELMERICH & PAYNE","US4234521015",NA
"HERSHEY","US4278661081",NA
"HP","US40434L1052",NA
"HOME DEPOT","US4370761029",NA
"HONEYWELL INTL.","US4385161066",NA
"HORMEL FOODS","US4404521001",NA
"D R HORTON","US23331A1097",NA
"HOST HOTELS & RESORTS REIT","US44107P1049",NA
"HUMANA","US4448591028",NA
"HUNTINGTON BCSH.","US4461501045",NA
"ILLINOIS TOOL WORKS","US4523081093",NA
"TRANE TECHNOLOGIES","IE00BK9ZQ967",NA
"INTEL","US4581401001",NA
"INTERCONTINENTAL EX.","US45866F1049",NA
"INTERNATIONAL BUS.MCHS.","US4592001014",NA
"INTL.FLAVORS & FRAG.","US4595061015",NA
"INTERNATIONAL PAPER","US4601461035",NA
"INTUIT","US4612021034",NA
"INTUITIVE SURGICAL","US46120E6023",NA
"INVESCO","BMG491BT1088",NA
"IRON MOUNTAIN","US46284V1017",NA
"VIAVI SOLUTIONS","US9255501051",NA
"JP MORGAN CHASE & CO.","US46625H1005",NA
"JABIL","US4663131039",NA
"JACOBS SOLUTIONS","US46982L1089",NA
"JOHNSON & JOHNSON","US4781601046",NA
"KLA","US4824801009",NA
"KEYCORP","US4932671088",NA
"KIMBERLY-CLARK","US4943681035",NA
"KIMCO REALTY","US49446R1095",NA
"KINDER MORGAN","US49456B1017",NA
"KOHL'S","US5002551043",NA
"KROGER","US5010441013",NA
"LABCORP HOLDINGS","US5049221055",NA
"LAM RESEARCH","US5128073062",NA
"LEGGETT&PLATT","US5246601075",NA
"LENNAR A A","US5260571048",NA
"JEFFERIES FINANCIAL GROUP","US47233W1099",NA
"ELI LILLY","US5324571083",NA
"BATH AND BODY WORKS","US0708301041",NA
"LINCOLN NATIONAL","US5341871094",NA
"LOCKHEED MARTIN","US5398301094",NA
"LOEWS","US5404241086",NA
"LOWE'S COMPANIES","US5486611073",NA
"LYONDELLBASELL INDS.CL.A","NL0009434992",NA
"M&T BANK","US55261F1049",NA
"MACY'S","US55616P1049",NA
"MARATHON PETROLEUM","US56585A1025",NA
"MARRIOTT INTL.'A'","US5719032022",NA
"MARSH","US5717481023",NA
"MASCO","US5745991068",NA
"MASTERCARD","US57636Q1040",NA
"MATTEL","US5770811025",NA
"MCCORMICK & COMPANY NV.","US5797802064",NA
"MCDONALDS","US5801351017",NA
"S&P GLOBAL","US78409V1044",NA
"MCKESSON","US58155Q1031",NA
"MEDTRONIC","IE00BTN1Y115",NA
"MERCK & COMPANY","US58933Y1055",NA
"METLIFE","US59156R1086",NA
"T-MOBILE US","US8725901040",NA
"MICROCHIP TECH.","US5950171042",NA
"MICRON TECHNOLOGY","US5951121038",NA
"MICROSOFT","US5949181045",NA
"MOLSON COORS BEVERAGE COMPANY B","US60871R2094",NA
"MONDELEZ INTERNATIONAL CL.A","US6092071058",NA
"MONSTER BEVERAGE","US61174X1090",NA
"MOODY'S","US6153691059",NA
"MORGAN STANLEY","US6174464486",NA
"MOSAIC","US61945C1036",NA
"MOTOROLA SOLUTIONS","US6200763075",NA
"MURPHY OIL","US6267171022",NA
"VIATRIS","US92556V1061",NA
"NIKE 'B'","US6541061031",NA
"NRG ENERGY","US6293775085",NA
"NABORS INDUSTRIES","BMG6359F1370",NA
"NASDAQ","US6311031081",NA
"NOV","US62955J1034",NA
"NETAPP","US64110D1046",NA
"NETFLIX","US64110L1061",NA
"NEWELL BRANDS (XSC)","US6512291062",NA
"NEWMONT","US6516391066",NA
"TWENTY FIRST CENTURY FOX A","US90130A3095",NA
"NEXTERA ENERGY","US65339F1012",NA
"NISOURCE","US65473P1057",NA
"NORFOLK SOUTHERN","US6558441084",NA
"EVERSOURCE ENERGY","US30040W1080",NA
"NORTHERN TRUST","US6658591044",NA
"NORTHROP GRUMMAN","US6668071029",NA
"NUCOR","US6703461052",NA
"NVIDIA","US67066G1040",NA
"O REILLY AUTOMOTIVE","US67103H1077",NA
"ONEOK","US6826801036",NA
"OCCIDENTAL PTL.","US6745991058",NA
"OMNICOM GROUP","US6819191064",NA
"ORACLE","US68389X1054",NA
"O I GLASS","US67098H1041",NA
"PACCAR","US6937181088",NA
"PG&E","US69331C1080",NA
"PNC FINL.SVS.GP.","US6934751057",NA
"PPG INDUSTRIES","US6935061076",NA
"PPL","US69351T1060",NA
"PARKER-HANNIFIN","US7010941042",NA
"PAYCHEX","US7043261079",NA
"PENTAIR","IE00BLS09M33",NA
"PEPSICO","US7134481081",NA
"REVVITY","US7140461093",NA
"PERRIGO","IE00BGH1M568",NA
"PFIZER","US7170811035",NA
"PHILIP MORRIS INTL.","US7181721090",NA
"PHILLIPS 66","US7185461040",NA
"PINNACLE WEST CAP.","US7234841010",NA
"PITNEY-BOWES","US7244791007",NA
"BOOKING HOLDINGS","US09857L1089",NA
"PRINCIPAL FINL.GP.","US74251V1026",NA
"PROLOGIS REIT","US74340W1036",NA
"PROCTER & GAMBLE","US7427181091",NA
"PROGRESSIVE OHIO","US7433151039",NA
"PRUDENTIAL FINL.","US7443201022",NA
"PUB.SER.ENTER.GP.","US7445731067",NA
"PUBLIC STORAGE","US74460D1090",NA
"PULTEGROUP","US7458671010",NA
"QUALCOMM","US7475251036",NA
"QUANTA SERVICES","US74762E1029",NA
"QUEST DIAGNOSTICS","US74834L1008",NA
"RALPH LAUREN CL.A","US7512121010",NA
"RANGE RES.","US75281A1097",NA
"REGIONS FINL.NEW","US7591EP1005",NA
"REPUBLIC SVS.'A'","US7607591002",NA
"ROBERT HALF","US7703231032",NA
"ROCKWELL AUTOMATION","US7739031091",NA
"ROPER TECHNOLOGIES","US7766961061",NA
"ROSS STORES","US7782961038",NA
"RYDER SYSTEM","US7835491082",NA
"LEIDOS HOLDINGS","US5253271028",NA
"SLM","US78442P1066",NA
"SALESFORCE","US79466L3024",NA
"SLB","AN8068571086",NA
"CHARLES SCHWAB","US8085131055",NA
"SCRIPPS NETWORKS INTERACTIVE A","US8110651010",NA
"SEAGATE TECHNOLOGY HOLDINGS","IE00BKVD2N49",NA
"SEALED AIR","US81211K1007",NA
"SEMPRA","US8168511090",NA
"SHERWIN-WILLIAMS","US8243481061",NA
"SIMON PROPERTY GROUP","US8288061091",NA
"J M SMUCKER","US8326964058",NA
"SNAP-ON","US8330341012",NA
"SOUTHERN","US8425871071",NA
"SOUTHWEST AIRLINES","US8447411088",NA
"STANLEY BLACK & DECKER","US8545021011",NA
"STARBUCKS","US8552441094",NA
"STATE STREET","US8574771031",NA
"STRYKER","US8636671013",NA
"GEN DIGITAL","US6687711084",NA
"SYSCO","US8718291078",NA
"T ROWE PRICE GROUP","US74144T1088",NA
"TE CONNECTIVITY","IE000IVNQZ81",NA
"TJX","US8725401090",NA
"TARGET","US87612E1064",NA
"TENET HEALTHCARE","US88033G4073",NA
"TERADATA","US88076W1036",NA
"TERADYNE (XSC)","US8807701029",NA
"TEXAS INSTRUMENTS","US8825081040",NA
"TEXTRON","US8832031012",NA
"BANK OF NEW YORK MELLON","US0640581007",NA
"WILLIAMS","US9694571004",NA
"THERMO FISHER SCIENTIFIC","US8835561023",NA
"GLOBE LIFE","US37959E1029",NA
"TRAVELERS COS.","US89417E1091",NA
"TRIPADVISOR 'A'","US8969452015",NA
"JOHNSON CONTROLS INTL.","IE00BY7QL619",NA
"TYSON FOODS 'A'","US9024941034",NA
"US BANCORP","US9029733048",NA
"UNION PACIFIC","US9078181081",NA
"UNITED PARCEL SER.'B'","US9113121068",NA
"RTX","US75513E1010",NA
"UNITEDHEALTH GROUP","US91324P1021",NA
"UNUM GROUP","US91529Y1064",NA
"URBAN OUTFITTERS","US9170471026",NA
"V F","US9182041080",NA
"VALERO ENERGY","US91913Y1001",NA
"VENTAS","US92276F1003",NA
"VERISIGN","US92343E1029",NA
"VERIZON COMMUNICATIONS","US92343V1044",NA
"VISA 'A'","US92826C8394",NA
"VORNADO REALTY TRUST","US9290421091",NA
"VULCAN MATERIALS","US9291601097",NA
"WALMART","US9311421039",NA
"WALT DISNEY","US2546871060",NA
"GRAHAM HOLDINGS 'B'","US3846371041",NA
"WASTE MANAGEMENT","US94106L1098",NA
"WATERS","US9418481035",NA
"ELEVANCE HEALTH","US0367521038",NA
"WELLS FARGO & CO","US9497461015",NA
"WESTERN DIGITAL","US9581021055",NA
"WESTERN UNION","US9598021098",NA
"WEYERHAEUSER","US9621661043",NA
"WHIRLPOOL","US9633201069",NA
"WEC ENERGY GROUP","US92939U1060",NA
"TRAVEL LEISURE","US8941641024",NA
"WYNN RESORTS","US9831341071",NA
"XCEL ENERGY","US98389B1008",NA
"XEROX HOLDINGS","US98421M1062",NA
"XYLEM","US98419M1009",NA
"YUM! BRANDS","US9884981013",NA
"ZIMMER BIOMET HDG.","US98956P1021",NA
"ZIONS BANCORP.","US9897011071",NA
"EBAY","US2786421030",NA
"AMETEK","US0311001004",NA
"ALLEGION","IE00BFRT3W74",NA
"BREAD FINANCIAL HOLDINGS","US0185811082",NA
"DELTA AIR LINES","US2473617023",NA
"META PLATFORMS A","US30303M1027",NA
"GENERAL MOTORS","US37045V1008",NA
"MACERICH","US5543821012",NA
"CAPRI HOLDINGS","VGG1890L1076",NA
"MOHAWK INDUSTRIES","US6081901042",NA
"NEWS 'A'","US65249B1098",NA
"PVH","US6936561009",NA
"REGENERON PHARMS.","US75886F1075",NA
"TRACTOR SUPPLY","US8923561067",NA
"TRANSOCEAN","CH0048265513",NA
"VERTEX PHARMS.","US92532F1003",NA
"ZOETIS A","US98978V1035",NA
"AFFILIATED MANAGERS","US0082521081",NA
"BROADCOM","US11135F1012",NA
"ESSEX PROPERTY TST.","US2971781057",NA
"ALPHABET 'C'","US02079K1079",NA
"HCA HEALTHCARE","US40412C1018",NA
"MARTIN MRTA.MATS.","US5732841060",NA
"NAVIENT","US63938C1080",NA
"ROYAL CARIBBEAN GROUP","LR0008862868",NA
"UNDER ARMOUR A","US9043111072",NA
"UNITED RENTALS","US9113631090",NA
"UNIVERSAL HEALTH SVS.'B'","US9139031002",NA
"SL GREEN REALTY","US78440X8873",NA
"CHURCH & DWIGHT CO.","US1713401024",NA
"HENRY SCHEIN","US8064071025",NA
"HUNT JB TRANSPORT SVS.","US4456581077",NA
"ILLUMINA","US4523271090",NA
"REALTY INCOME","US7561091049",NA
"ADV.AUTO PARTS","US00751Y1064",NA
"SKYWORKS SOLUTIONS","US83088M1027",NA
"EXTRA SPACE STRG.","US30225T1025",NA
"SIGNET JEWELERS","BMG812761002",NA
"VERISK ANALYTICS CL.A","US92345Y1064",NA
"UNITED AIRLINES HOLDINGS","US9100471096",NA
"NEWS 'B'","US65249B2088",NA
"TWENTY-FIRST CENTURY FOX B","US90130A4085",NA
"AMERICAN AIRLINES GROUP","US02376R1023",NA
"WILLIS TOWERS WATSON","IE00BDB6Q211",NA
"SYNCHRONY FINANCIAL","US87165B1035",NA
"QORVO","US74736K1016",NA
"EQUINIX REIT","US29444U7000",NA
"KRAFT HEINZ","US5007541064",NA
"HEWLETT PACKARD ENTER.","US42824C1099",NA
"PAYPAL HOLDINGS","US70450Y1038",NA
"ALASKA AIR GROUP","US0116591092",NA
"ALBEMARLE","US0126531013",NA
"METTLER TOLEDO INTL.","US5926881054",NA
"COOPER COS.","US2166485019",NA
"FEDERAL REALTY INV.TST.","US3137451015",NA
"ARTHUR J GALLAGHER","US3635761097",NA
"HOLOGIC","US4364401012",NA
"IDEXX LABORATORIES","US45168D1046",NA
"MID-AMER.APT COMMUNITIES","US59522J1034",NA
"GLOBAL PAYMENTS","US37940X1028",NA
"UDR","US9026531049",NA
"CENTENE","US15135B1017",NA
"ACUITY","US00508Y1029",NA
"LKQ","US5018892084",NA
"ALLIANT ENERGY (XSC)","US0188021085",NA
"DIGITAL REALTY TST.","US2538681030",NA
"TRANSDIGM GROUP","US8936411003",NA
"ULTA BEAUTY","US90384S3031",NA
"AMERICAN WATER WORKS","US0304201033",NA
"FORTUNE BRANDS INNOVATIONS","US34964C1062",NA
"COTY CL.A","US2220702037",NA
"UNDER ARMOUR 'C'","US9043112062",NA
"TECHNIPFMC","GB00BDSFG982",NA
"CITIZENS FINANCIAL GROUP","US1746101054",NA
"FORTIVE","US34959J1088",NA
"CHARTER COMMS.CL.A","US16119P1084",NA
"ALEXANDRIA REAL ESTATE EQUITIES REIT","US0152711091",NA
"CADENCE DESIGN SYS.","US1273871087",NA
"GARTNER 'A'","US3666511072",NA
"INCYTE","US45337C1027",NA
"PACKAGING CORP.OF AM.","US6951561090",NA
"MGM RESORTS INTL.","US5529531015",NA
"EVEREST GROUP","BMG3223R1088",NA
"ALIGN TECHNOLOGY","US0162551016",NA
"RAYMOND JAMES FINL.","US7547301090",NA
"REGENCY CENTERS","US7588491032",NA
"RESMED","US7611521078",NA
"SMITH (AO)","US8318652091",NA
"SYNOPSYS","US8716071076",NA
"HNTGTN.INGALLS INDS.","US4464131063",NA
"CBOE GLOBAL MARKETS(BTS)","US12503M1080",NA
"NORWEGIAN CRUISE LINE HDG.","BMG667211046",NA
"IQVIA HOLDINGS","US46266C1053",NA
"BRIGHTHOUSE FINANCIAL","US10922N1037",NA
"DUPONT DE NEMOURS","US26614N1028",NA
"HILTON WORLDWIDE HDG.","US43300A2033",NA
"SBA COMMS.","US78410G1040",NA
"TAKE TWO INTACT.SFTW.","US8740541094",NA
"COPART","US2172041061",NA
"NEKTAR THERAPEUTICS","US6402683063",NA
"JACK HENRY AND ASSOCIATES","US4262811015",NA
"IPG PHOTONICS","US44980X1090",NA
"ROLLINS","US7757111049",NA
"TELEFLEX","US8793691069",NA
"CELANESE","US1508701034",NA
"BROADRIDGE FINL.SLTN.","US11133T1034",NA
"MSCI","US55354G1004",NA
"CORPAY","US2199481068",NA
"FIRST REPUBLIC BANK","US33616C1009",NA
"FORTINET","US34959E1091",NA
"HF SINCLAIR","US4039491000",NA
"DIAMONDBACK ENERGY","US25278X1090",NA
"LAMB WESTON HOLDINGS","US5132721045",NA
"EVERGY","US30034W1062",NA
"ARISTA NETWORKS","US0404132054",NA
"KEYSIGHT TECHNOLOGIES","US49338L1035",NA
"LINDE (NYS)","IE000S9YS762",NA
"W R BERKLEY","US0844231029",NA
"ATMOS ENERGY","US0495601058",NA
"IDEX","US45167R1041",NA
"NVR","US62944T1051",NA
"OLD DOMINION FGT.LINES","US6795801009",NA
"WABTEC","US9297401088",NA
"ZEBRA TECHNOLOGIES 'A'","US9892071054",NA
"LAS VEGAS SANDS","US5178341070",NA
"MARKETAXESS HOLDINGS","US57060D1081",NA
"LIVE NATION ENTM.","US5380341090",NA
"SERVICENOW","US81762P1021",NA
"CDW","US12514G1085",NA
"STERIS","IE00BFY8C754",NA
"DOW ORD SHS","US2605571031",NA
"AMCOR","JE00BV7DQ550",NA
"FOX A","US35137L1052",NA
"FOX B","US35137L2043",NA
"CORTEVA","US22052L1044",NA
"PAYCOM SOFTWARE","US70432V1026",NA
"BIO-RAD LABORATORIES 'A'","US0905722072",NA
"TELEDYNE TECHS.","US8793601050",NA
"POOL","US73278L1052",NA
"TRIMBLE","US8962391004",NA
"TYLER TECHNOLOGIES","US9022521051",NA
"WEST PHARM.SVS.","US9553061055",NA
"DOMINO'S PIZZA","US25754A2015",NA
"DEXCOM","US2521311074",NA
"TESLA","US88160R1014",NA
"ENPHASE ENERGY","US29355A1079",NA
"VONTIER","US9288811014",NA
"CARRIER GLOBAL","US14448C1045",NA
"OTIS WORLDWIDE","US68902V1070",NA
"INGERSOLL RAND","US45687V1061",NA
"ETSY","US29786A1060",NA
"FACTSET RESEARCH SYS.","US3030751057",NA
"CHAS.RVR.LABS.INTL.","US1598641074",NA
"PENN ENTERTAINMENT","US7075691094",NA
"BROWN & BROWN","US1152361010",NA
"SIGNATURE BANK","US82669G1040",NA
"MONOLITHIC PWR.SYS.","US6098391054",NA
"EPAM SYSTEMS","US29414B1044",NA
"NXP SEMICONDUCTORS","NL0009538784",NA
"GENERAC HOLDINGS","US3687361044",NA
"PTC","US69370C1009",NA
"MODERNA","US60770K1079",NA
"MATCH GROUP","US57667L1070",NA
"ORGANON","US68622V1061",NA
"CAESARS ENTERTAINMENT","US12769G1004",NA
"BIO-TECHNE","US09073M1045",NA
"SOLAREDGE TECHNOLOGIES","US83417M1045",NA
"CAMDEN PROPERTY TST.","US1331311027",NA
"MOLINA HEALTHCARE","US60855R1005",NA
"COSTAR GP.","US22160N1090",NA
"ON SEMICONDUCTOR","US6821891057",NA
"NORDSON","US6556631025",NA
"ARCH CAP.GP.","BMG0450A1053",NA
"STEEL DYNAMICS","US8581191009",NA
"TARGA RESOURCES","US87612G1013",NA
"INVITATION HOMES","US46187W1071",NA
"GE HEALTHCARE TECHNOLOGIES","US36266G1076",NA
"CONSTELLATION ENERGY","US21037T1097",NA
"VICI PPTYS","US9256521090",NA
"FAIR ISAAC","US3032501047",NA
"BUILDERS FIRSTSOURCE","US12008R1077",NA
"INSULET","US45784P1012",NA
"LULULEMON ATHLETICA","US5500211090",NA
"PALO ALTO NETWORKS","US6974351057",NA
"HUBBELL","US4435106079",NA
"AXON ENTERPRISE","US05464C1018",NA
"UBER TECHNOLOGIES","US90353T1007",NA
"BLACKSTONE","US09260D1072",NA
"AIRBNB A","US0090661010",NA
"VERALTO","US92338C1036",NA
"BUNGE GLOBAL","CH1300646267",NA
"KENVUE","US49177J1025",NA
"DECKERS OUTDOOR","US2435371073",NA
"ERIE INDEMNITY 'A'","US29530P1021",NA
"LENNOX INTL.","US5261071071",NA
"WORKDAY CLASS A","US98138H1014",NA
"KKR AND CO. ORD. SHS.","US48251W1045",NA
"DELL TECHNOLOGIES C","US24703L2025",NA
"CROWDSTRIKE HOLDINGS A","US22788C1053",NA
"TEXAS PACIFIC LAND TRUST","US88262P1021",NA
"SOLVENTUM","US83444M1018",NA
"APOLLO GLOBAL MANAGEMENT","US03769M1062",NA
"PALANTIR TECHNOLOGIES A","US69608A1088",NA
"GE VERNOVA","US36828A1016",NA
"SUPER MICRO COMPUTER","US86800U3023",NA
"MILLROSE PROPERTIES A","US6011371027",NA
"SMURFIT WESTROCK","IE00028FXN24",NA
"GODADDY CL.A","US3802371076",NA
"VISTRA","US92840M1027",NA
"COMFORT SYS.USA","US1999081045",NA
"EMCOR GROUP","US29084Q1004",NA
"WILLIAMS-SONOMA","US9699041011",NA
"CRH PUBLIC LIMITED","IE0001827041",NA
"INTERACTIVE BROKERS GROUP A","US45841N1072",NA
"TRADE DESK CL.A","US88339J1051",NA
"ARES MANAGEMENT A","US03990B1017",NA
"DATADOG A","US23804L1035",NA
"COINBASE GLOBAL A","US19260Q1076",NA
"APPLOVIN A","US03831W1080",NA
"EXPAND ENERGY","US1651677353",NA
"DOORDASH A","US25809K1051",NA
"ROBINHOOD MARKETS A","US7707001027",NA
"TKO GROUP HOLDINGS A","US87256C1018",NA
"SANDISK","US80004C2008",NA
"QNITY ELECTRONICS","US74743L1008",NA
"BLOCK A","US8522341036",NA
"CARVANA 'A'","US1468691027",NA
